|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Wed Dec  9 11:36:59 2020 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  JUEDE
exp.freq: expected frequency of the word with/in JUEDE
faith: percentage of how many instances of the word occur with/in JUEDE
relation: relation of the word to JUEDE
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: -log10 (Fisher-Yates exact, one-tailed), the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
你們	501	8	1.76	attraction	0.02	0	0.01	3.33
沒什麼	185	5	0.65	attraction	0.03	0	0.02	3.27
不爽	105	4	0.37	attraction	0.04	0	0.03	3.26
其	45	3	0.16	attraction	0.07	0	0.06	3.26
哪有	10	2	0.04	attraction	0.2	0	0.2	3.26
很差	47	3	0.17	attraction	0.06	0	0.06	3.2
適婚年齡	11	2	0.04	attraction	0.18	0	0.18	3.18
是	11634	63	40.89	attraction	0.01	0.01	0	3.15
可以	2318	19	8.15	attraction	0.01	0	0	3.12
a	675	9	2.37	attraction	0.01	0	0.01	3.11
第一次	115	4	0.4	attraction	0.03	0	0.03	3.11
妳是	52	3	0.18	attraction	0.06	0	0.05	3.07
沮喪	13	2	0.05	attraction	0.15	0	0.15	3.03
無比	13	2	0.05	attraction	0.15	0	0.15	3.03
非常	431	7	1.51	attraction	0.02	0	0.01	3.02
噁心	55	3	0.19	attraction	0.05	0	0.05	3
不準	14	2	0.05	attraction	0.14	0	0.14	2.96
有點像	14	2	0.05	attraction	0.14	0	0.14	2.96
夜市	14	2	0.05	attraction	0.14	0	0.14	2.96
既然	128	4	0.45	attraction	0.03	0	0.03	2.94
未來	328	6	1.15	attraction	0.02	0	0.01	2.93
厚	15	2	0.05	attraction	0.13	0	0.13	2.9
活著	16	2	0.06	attraction	0.12	0	0.12	2.84
滑板	17	2	0.06	attraction	0.12	0	0.11	2.79
煩	17	2	0.06	attraction	0.12	0	0.11	2.79
無聊	67	3	0.24	attraction	0.04	0	0.04	2.76
租	19	2	0.07	attraction	0.11	0	0.1	2.69
這根	19	2	0.07	attraction	0.11	0	0.1	2.69
冷處理	20	2	0.07	attraction	0.1	0	0.1	2.65
衝浪	20	2	0.07	attraction	0.1	0	0.1	2.65
前男友	76	3	0.27	attraction	0.04	0	0.04	2.6
怎樣	272	5	0.96	attraction	0.02	0	0.01	2.53
莫名	23	2	0.08	attraction	0.09	0	0.08	2.53
長期	81	3	0.28	attraction	0.04	0	0.03	2.52
好玩	24	2	0.08	attraction	0.08	0	0.08	2.49
心理	86	3	0.3	attraction	0.03	0	0.03	2.45
fendi	1	1	0	attraction	1	0	1	2.45
人心隔肚皮	1	1	0	attraction	1	0	1	2.45
不太妥	1	1	0	attraction	1	0	1	2.45
太扯嗎	1	1	0	attraction	1	0	1	2.45
太浪	1	1	0	attraction	1	0	1	2.45
以少	1	1	0	attraction	1	0	1	2.45
本件	1	1	0	attraction	1	0	1	2.45
立東	1	1	0	attraction	1	0	1	2.45
交下	1	1	0	attraction	1	0	1	2.45
先上來	1	1	0	attraction	1	0	1	2.45
她贏	1	1	0	attraction	1	0	1	2.45
有點痛	1	1	0	attraction	1	0	1	2.45
自形	1	1	0	attraction	1	0	1	2.45
