|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Wed Dec  9 11:36:59 2020 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  JUEDE
exp.freq: expected frequency of the word with/in JUEDE
faith: percentage of how many instances of the word occur with/in JUEDE
relation: relation of the word to JUEDE
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: -log10 (Fisher-Yates exact, one-tailed), the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
那種	358	3	1.26	attraction	0.01	0	0	0.88
青春	40	1	0.14	attraction	0.02	0	0.02	0.88
理所當然	40	1	0.14	attraction	0.02	0	0.02	0.88
開口	40	1	0.14	attraction	0.02	0	0.02	0.88
業務	40	1	0.14	attraction	0.02	0	0.02	0.88
頻率	41	1	0.14	attraction	0.02	0	0.02	0.87
一人	42	1	0.15	attraction	0.02	0	0.02	0.86
吼	43	1	0.15	attraction	0.02	0	0.02	0.85
難怪	43	1	0.15	attraction	0.02	0	0.02	0.85
不在	44	1	0.15	attraction	0.02	0	0.02	0.84
傻眼	44	1	0.15	attraction	0.02	0	0.02	0.84
沒錢	46	1	0.16	attraction	0.02	0	0.02	0.83
妳在	46	1	0.16	attraction	0.02	0	0.02	0.83
只要	382	3	1.34	attraction	0.01	0	0	0.82
穩定	196	2	0.69	attraction	0.01	0	0.01	0.82
與其	47	1	0.17	attraction	0.02	0	0.02	0.82
羨慕	48	1	0.17	attraction	0.02	0	0.02	0.81
不錯	203	2	0.71	attraction	0.01	0	0.01	0.8
受到	49	1	0.17	attraction	0.02	0	0.02	0.8
房	49	1	0.17	attraction	0.02	0	0.02	0.8
哪些	49	1	0.17	attraction	0.02	0	0.02	0.8
吵架	204	2	0.72	attraction	0.01	0	0.01	0.79
假如	50	1	0.18	attraction	0.02	0	0.02	0.79
噁	50	1	0.18	attraction	0.02	0	0.02	0.79
不用	397	3	1.4	attraction	0.01	0	0	0.78
仇女	207	2	0.73	attraction	0.01	0	0.01	0.78
不該	52	1	0.18	attraction	0.02	0	0.02	0.78
高興	52	1	0.18	attraction	0.02	0	0.02	0.78
女方	404	3	1.42	attraction	0.01	0	0	0.77
賺	210	2	0.74	attraction	0.01	0	0.01	0.77
你好	53	1	0.19	attraction	0.02	0	0.02	0.77
找對象	53	1	0.19	attraction	0.02	0	0.02	0.77
帥	53	1	0.19	attraction	0.02	0	0.02	0.77
快	214	2	0.75	attraction	0.01	0	0.01	0.76
美國	54	1	0.19	attraction	0.02	0	0.02	0.76
可怕	57	1	0.2	attraction	0.02	0	0.01	0.74
妳有	58	1	0.2	attraction	0.02	0	0.01	0.73
怎麼樣	58	1	0.2	attraction	0.02	0	0.01	0.73
持續	59	1	0.21	attraction	0.02	0	0.01	0.73
洗	58	1	0.2	attraction	0.02	0	0.01	0.73
國外	58	1	0.2	attraction	0.02	0	0.01	0.73
多數	60	1	0.21	attraction	0.02	0	0.01	0.72
有錢人	60	1	0.21	attraction	0.02	0	0.01	0.72
兩個	431	3	1.51	attraction	0.01	0	0	0.71
卑微	61	1	0.21	attraction	0.02	0	0.01	0.71
懷孕	62	1	0.22	attraction	0.02	0	0.01	0.71
對不起	63	1	0.22	attraction	0.02	0	0.01	0.7
一直	884	5	3.11	attraction	0.01	0	0	0.69
性格	65	1	0.23	attraction	0.02	0	0.01	0.69
登記	65	1	0.23	attraction	0.02	0	0.01	0.69
代	67	1	0.24	attraction	0.01	0	0.01	0.68
每	66	1	0.23	attraction	0.02	0	0.01	0.68
買房	67	1	0.24	attraction	0.01	0	0.01	0.68
很棒	68	1	0.24	attraction	0.01	0	0.01	0.67
最大	68	1	0.24	attraction	0.01	0	0.01	0.67
碰到	68	1	0.24	attraction	0.01	0	0.01	0.67
ptt	248	2	0.87	attraction	0.01	0	0	0.66
跟前	70	1	0.25	attraction	0.01	0	0.01	0.66
經濟	258	2	0.91	attraction	0.01	0	0	0.64
沒關係	74	1	0.26	attraction	0.01	0	0.01	0.64
擇偶	74	1	0.26	attraction	0.01	0	0.01	0.64
沒事	77	1	0.27	attraction	0.01	0	0.01	0.62
房間	77	1	0.27	attraction	0.01	0	0.01	0.62
蘇美	78	1	0.27	attraction	0.01	0	0.01	0.62
父母	269	2	0.95	attraction	0.01	0	0	0.61
單獨	83	1	0.29	attraction	0.01	0	0.01	0.6
壓力	284	2	1	attraction	0.01	0	0	0.58
比例	86	1	0.3	attraction	0.01	0	0.01	0.58
自由	86	1	0.3	attraction	0.01	0	0.01	0.58
差異	86	1	0.3	attraction	0.01	0	0.01	0.58
超	87	1	0.31	attraction	0.01	0	0.01	0.58
等	509	3	1.79	attraction	0.01	0	0	0.57
我家	90	1	0.32	attraction	0.01	0	0.01	0.57
濤哥	89	1	0.31	attraction	0.01	0	0.01	0.57
聊天	522	3	1.83	attraction	0.01	0	0	0.56
今年	91	1	0.32	attraction	0.01	0	0.01	0.56
哪個	92	1	0.32	attraction	0.01	0	0.01	0.56
目前	298	2	1.05	attraction	0.01	0	0	0.55
某	94	1	0.33	attraction	0.01	0	0.01	0.55
剩下	94	1	0.33	attraction	0.01	0	0.01	0.55
經過	94	1	0.33	attraction	0.01	0	0.01	0.55
正確	96	1	0.34	attraction	0.01	0	0.01	0.54
：	1281	6	4.5	attraction	0	0	0	0.53
人家	307	2	1.08	attraction	0.01	0	0	0.53
容易	316	2	1.11	attraction	0.01	0	0	0.52
內心	103	1	0.36	attraction	0.01	0	0.01	0.52
分開	103	1	0.36	attraction	0.01	0	0.01	0.52
呀	103	1	0.36	attraction	0.01	0	0.01	0.52
影片	102	1	0.36	attraction	0.01	0	0.01	0.52
同	104	1	0.37	attraction	0.01	0	0.01	0.51
基本	105	1	0.37	attraction	0.01	0	0.01	0.51
結婚	809	4	2.84	attraction	0	0	0	0.5
陪伴	109	1	0.38	attraction	0.01	0	0.01	0.5
觀察	109	1	0.38	attraction	0.01	0	0.01	0.5
今天	338	2	1.19	attraction	0.01	0	0	0.48
沒錯	114	1	0.4	attraction	0.01	0	0.01	0.48
前任	113	1	0.4	attraction	0.01	0	0.01	0.48
前面	115	1	0.4	attraction	0.01	0	0.01	0.48
三	119	1	0.42	attraction	0.01	0	0	0.47
加上	117	1	0.41	attraction	0.01	0	0.01	0.47
爸爸	118	1	0.41	attraction	0.01	0	0	0.47
女生	2957	12	10.39	attraction	0	0	0	0.46
一輩子	120	1	0.42	attraction	0.01	0	0	0.46
上進心	121	1	0.43	attraction	0.01	0	0	0.46
當初	120	1	0.42	attraction	0.01	0	0	0.46
嚴重	122	1	0.43	attraction	0.01	0	0	0.46
到底	353	2	1.24	attraction	0.01	0	0	0.45
彼此	352	2	1.24	attraction	0.01	0	0	0.45
身材	126	1	0.44	attraction	0.01	0	0	0.45
痛苦	123	1	0.43	attraction	0.01	0	0	0.45
價值觀	125	1	0.44	attraction	0.01	0	0	0.45
天	129	1	0.45	attraction	0.01	0	0	0.44
有個	128	1	0.45	attraction	0.01	0	0	0.44
所謂	128	1	0.45	attraction	0.01	0	0	0.44
網路	129	1	0.45	attraction	0.01	0	0	0.44
分手	874	4	3.07	attraction	0	0	0	0.43
b	365	2	1.28	attraction	0.01	0	0	0.43
少	132	1	0.46	attraction	0.01	0	0	0.43
即使	133	1	0.47	attraction	0.01	0	0	0.43
最好	130	1	0.46	attraction	0.01	0	0	0.43
戀愛	132	1	0.46	attraction	0.01	0	0	0.43
社會	378	2	1.33	attraction	0.01	0	0	0.42
上面	141	1	0.5	attraction	0.01	0	0	0.41
不少	142	1	0.5	attraction	0.01	0	0	0.41
結論	142	1	0.5	attraction	0.01	0	0	0.41
點	141	1	0.5	attraction	0.01	0	0	0.41
老師	144	1	0.51	attraction	0.01	0	0	0.4
聊	394	2	1.38	attraction	0.01	0	0	0.39
反正	149	1	0.52	attraction	0.01	0	0	0.39
尊重	148	1	0.52	attraction	0.01	0	0	0.39
感情	665	3	2.34	attraction	0	0	0	0.38
交友	405	2	1.42	attraction	0	0	0	0.38
完全	407	2	1.43	attraction	0	0	0	0.38
也許	154	1	0.54	attraction	0.01	0	0	0.38
交往	962	4	3.38	attraction	0	0	0	0.36
大概	423	2	1.49	attraction	0	0	0	0.36
不好	423	2	1.49	attraction	0	0	0	0.36
相處	423	2	1.49	attraction	0	0	0	0.36
家裡	162	1	0.57	attraction	0.01	0	0	0.36
曾經	163	1	0.57	attraction	0.01	0	0	0.36
像是	164	1	0.58	attraction	0.01	0	0	0.36
只是	1250	5	4.39	attraction	0	0	0	0.35
生氣	168	1	0.59	attraction	0.01	0	0	0.35
實在	167	1	0.59	attraction	0.01	0	0	0.35
另一半	173	1	0.61	attraction	0.01	0	0	0.34
或許	173	1	0.61	attraction	0.01	0	0	0.34
幫	446	2	1.57	attraction	0	0	0	0.33
小弟	177	1	0.62	attraction	0.01	0	0	0.33
離開	179	1	0.63	attraction	0.01	0	0	0.33
其他	459	2	1.61	attraction	0	0	0	0.32
該	461	2	1.62	attraction	0	0	0	0.32
花	187	1	0.66	attraction	0.01	0	0	0.32
現實	185	1	0.65	attraction	0.01	0	0	0.32
這邊	182	1	0.64	attraction	0.01	0	0	0.32
算	189	1	0.66	attraction	0.01	0	0	0.31
男人	1049	4	3.69	attraction	0	0	0	0.3
一般	196	1	0.69	attraction	0.01	0	0	0.3
手機	196	1	0.69	attraction	0.01	0	0	0.3
能夠	198	1	0.7	attraction	0.01	0	0	0.3
曖昧	198	1	0.7	attraction	0.01	0	0	0.3
女權	205	1	0.72	attraction	0	0	0	0.29
罵	206	1	0.72	attraction	0	0	0	0.29
追求	213	1	0.75	attraction	0	0	0	0.28
問	211	1	0.74	attraction	0	0	0	0.28
基本上	213	1	0.75	attraction	0	0	0	0.28
婚姻	213	1	0.75	attraction	0	0	0	0.28
理解	214	1	0.75	attraction	0	0	0	0.28
禮物	210	1	0.74	attraction	0	0	0	0.28
那	1700	6	5.98	attraction	0	0	0	0.26
不夠	229	1	0.8	attraction	0	0	0	0.26
不管	227	1	0.8	attraction	0	0	0	0.26
回家	223	1	0.78	attraction	0	0	0	0.26
每個	229	1	0.8	attraction	0	0	0	0.26
畢竟	228	1	0.8	attraction	0	0	0	0.26
至少	233	1	0.82	attraction	0	0	0	0.25
我會	232	1	0.82	attraction	0	0	0	0.25
邏輯	234	1	0.82	attraction	0	0	0	0.25
只	551	2	1.94	attraction	0	0	0	0.24
生活	543	2	1.91	attraction	0	0	0	0.24
錢	552	2	1.94	attraction	0	0	0	0.24
見面	241	1	0.85	attraction	0	0	0	0.24
過去	251	1	0.88	attraction	0	0	0	0.23
還要	248	1	0.87	attraction	0	0	0	0.23
情況	264	1	0.93	attraction	0	0	0	0.22
講	274	1	0.96	attraction	0	0	0	0.21
她們	280	1	0.98	attraction	0	0	0	0.2
的	32632	1	114.7	repulsion	0	-0.04	0	48.93
:	18835	1	66.2	repulsion	0	-0.02	0	27.33
，	31688	34	111.38	repulsion	0	-0.03	0	17.65
了	8632	1	30.34	repulsion	0	-0.01	0	11.77
.	10210	6	35.89	repulsion	0	-0.01	0	9.13
就	6598	6	23.19	repulsion	0	-0.01	0	4.65
說	4448	3	15.63	repulsion	0	0	0	3.92
？	3813	2	13.4	repulsion	0	0	0	3.82
也	7303	10	25.67	repulsion	0	-0.01	0	3.44
人	3443	2	12.1	repulsion	0	0	0	3.33
在	5952	9	20.92	repulsion	0	0	0	2.56
?	2773	2	9.75	repulsion	0	0	0	2.48
就是	2622	2	9.22	repulsion	0	0	0	2.29
都	6290	11	22.11	repulsion	0	0	0	2.16
什麼	2515	2	8.84	repulsion	0	0	0	2.16
到	1757	1	6.18	repulsion	0	0	0	1.83
喜歡	1388	1	4.88	repulsion	0	0	0	1.35
)	1381	1	4.85	repulsion	0	0	0	1.34
和	1281	1	4.5	repulsion	0	0	0	1.22
啊	1182	1	4.15	repulsion	0	0	0	1.09
看	1555	2	5.47	repulsion	0	0	0	1.05
把	1135	1	3.99	repulsion	0	0	0	1.04
不要	1095	1	3.85	repulsion	0	0	0	0.99
可能	1385	2	4.87	repulsion	0	0	0	0.87
比較	973	1	3.42	repulsion	0	0	0	0.84
朋友	1346	2	4.73	repulsion	0	0	0	0.83
再	929	1	3.27	repulsion	0	0	0	0.79
又	1621	3	5.7	repulsion	0	0	0	0.75
對	2278	5	8.01	repulsion	0	0	0	0.72
真的	2228	5	7.83	repulsion	0	0	0	0.69
工作	845	1	2.97	repulsion	0	0	0	0.69
已經	800	1	2.81	repulsion	0	0	0	0.64
做	1135	2	3.99	repulsion	0	0	0	0.62
想	2442	6	8.58	repulsion	0	0	0	0.61
怎麼	1040	2	3.66	repulsion	0	0	0	0.53
這麼	704	1	2.47	repulsion	0	0	0	0.53
會	4431	13	15.57	repulsion	0	0	0	0.51
為	2248	6	7.9	repulsion	0	0	0	0.49
一定	623	1	2.19	repulsion	0	0	0	0.45
一點	623	1	2.19	repulsion	0	0	0	0.45
小孩	618	1	2.17	repulsion	0	0	0	0.44
從	583	1	2.05	repulsion	0	0	0	0.41
好	2697	8	9.48	repulsion	0	0	0	0.4
像	577	1	2.03	repulsion	0	0	0	0.4
想要	552	1	1.94	repulsion	0	0	0	0.37
男友	1421	4	4.99	repulsion	0	0	0	0.36
還有	534	1	1.88	repulsion	0	0	0	0.36
不是	1996	6	7.02	repulsion	0	0	0	0.35
男	1117	3	3.93	repulsion	0	0	0	0.35
不想	530	1	1.86	repulsion	0	0	0	0.35
對象	510	1	1.79	repulsion	0	0	0	0.33
現在	1079	3	3.79	repulsion	0	0	0	0.32
前	499	1	1.75	repulsion	0	0	0	0.32
台	485	1	1.7	repulsion	0	0	0	0.31
當	483	1	1.7	repulsion	0	0	0	0.31
其實	1041	3	3.66	repulsion	0	0	0	0.3
女性	475	1	1.67	repulsion	0	0	0	0.3
而已	480	1	1.69	repulsion	0	0	0	0.3
男生	1596	5	5.61	repulsion	0	0	0	0.29
約	470	1	1.65	repulsion	0	0	0	0.29
比	448	1	1.57	repulsion	0	0	0	0.27
一個	2083	7	7.32	repulsion	0	0	0	0.26
還是	1776	6	6.24	repulsion	0	0	0	0.25
只有	427	1	1.5	repulsion	0	0	0	0.25
就算	425	1	1.49	repulsion	0	0	0	0.25
大家	948	3	3.33	repulsion	0	0	0	0.24
不會	1470	5	5.17	repulsion	0	0	0	0.23
阿	391	1	1.37	repulsion	0	0	0	0.22
女人	895	3	3.15	repulsion	0	0	0	0.21
一	627	2	2.2	repulsion	0	0	0	0.21
討論	376	1	1.32	repulsion	0	0	0	0.21
根本	619	2	2.18	repulsion	0	0	0	0.2
回	369	1	1.3	repulsion	0	0	0	0.2
重要	370	1	1.3	repulsion	0	0	0	0.2
不能	605	2	2.13	repulsion	0	0	0	0.19
呢	598	2	2.1	repulsion	0	0	0	0.19
以前	352	1	1.24	repulsion	0	0	0	0.19
以	592	2	2.08	repulsion	0	0	0	0.18
雖然	579	2	2.04	repulsion	0	0	0	0.18
以上	338	1	1.19	repulsion	0	0	0	0.18
台女	321	1	1.13	repulsion	0	0	0	0.16
有沒有	321	1	1.13	repulsion	0	0	0	0.16
xd	312	1	1.1	repulsion	0	0	0	0.15
分享	310	1	1.09	repulsion	0	0	0	0.15
玩	306	1	1.08	repulsion	0	0	0	0.15

In order to determine the degree of repulsion of verbs that are not attested with/inJUEDE,
the following table gives the collocational/collostructional strength for all verb frequencies
in orders of magnitude the corpus size allows for.


absents.words	absents.obs.freqs	absents.exp.freqs	relation	absents.delta.p.constr.to.word	absents.delta.p.word.to.constr	absents.collstrengths
a	10	0.04	repulsion	0	0	7.02
b	100	0.35	repulsion	0	0	26.36
c	1000	3.51	repulsion	0	0	7.13
d	10000	35.15	repulsion	-0.01	0	13.55
e	1e+05	351.48	repulsion	-0.13	0	9.86


If your collostruction strength is based on p-values, it can be interpreted as follows:
Coll.strength>3 => p<0.001; coll.strength>2 => p<0.01; coll.strength>1.30103 => p<0.05.
I'd be happy if you provided me with feedback and acknowledged the use of Coll.analysis 3.2a.
